Метка;Группа;Цвет;Размер;Материал;Утеплитель;Подкладка;Силуэт;Длина изделия;Рукав;Длина рукава;Застежка;Капюшон;Воротник;Пояс;Карманы;Кокетка;Уход
Светлые женские плащи;Женские плащи;Светло, Айвори, Бежевый, Бежевый, Капучино, Карамельный, Кирпичный, Голд, Крем, Кремовый, Молочный, Пудра, Золотой;;;;;;;;;;;;;;;
Серые женские плащи;Женские плащи;Графит, Антрацит, Пепел, Серебро, Серо-голубой, Серый;;;;;;;;;;;;;;;
Синие женские плащи;Женские плащи;Синий;;;;;;;;;;;;;;;
Сиреневые женские плащи;Женские плащи;Сиреневый;;;;;;;;;;;;;;;
Фиолетовые женские плащи;Женские плащи;Винный, Фиолетовый;;;;;;;;;;;;;;;
Женские плащи цвета марсала;Женские плащи;Бордовый, Винный, Вишня, Марсала;;;;;;;;;;;;;;;
Красные женские плащи;Женские плащи;Бордовый, Вишня, Кирпичный, Коралловый, Красный, Малиновый;;;;;;;;;;;;;;;
Желтые женские плащи;Женские плащи;Желтый, Желтая клетка;;;;;;;;;;;;;;;
Розовые женские плащи;Женские плащи;Малиновый, Розовый, Пудра;;;;;;;;;;;;;;;
Женские плащи цвета хаки;Женские плащи;Хаки, Болотный;;;;;;;;;;;;;;;
Женские плащи болотного цвета;Женские плащи;Болотный, Хаки;;;;;;;;;;;;;;;
Оранжевые женские плащи;Женские плащи;Коралловый, Оранжевый, Персиковый, Золотой;;;;;;;;;;;;;;;
Женские плащи ёлочкой;Женские плащи;Ёлочка;;;;;;;;;;;;;;;
Женские плащи в клетку;Женские плащи;Клетка;;;;;;;;;;;;;;;
Серебряные женские плащи;Женские плащи;Серебро;;;;;;;;;;;;;;;
Золотые женские плащи;Женские плащи;Золотой;;;;;;;;;;;;;;;
Твидовые женские плащи;Женские плащи;Твид ;;;;;;;;;;;;;;;
Женские пальто 36 размера;Женские пальто;;36;;;;;;;;;;;;;;
Женские пальто 38 размера;Женские пальто;;38;;;;;;;;;;;;;;
Женские пальто 40 размера;Женские пальто;;40;;;;;;;;;;;;;;
Женские пальто 42 размера;Женские пальто;;42;;;;;;;;;;;;;;
Женские пальто 44 размера;Женские пальто;;44;;;;;;;;;;;;;;
Женские пальто 46 размера;Женские пальто;;46;;;;;;;;;;;;;;
Женские пальто 48 размера;Женские пальто;;48;;;;;;;;;;;;;;
Женские пальто 50 размера;Женские пальто;;50;;;;;;;;;;;;;;
Женские пальто 52 размера;Женские пальто;;52;;;;;;;;;;;;;;
Женские пальто 54 размера;Женские пальто;;54;;;;;;;;;;;;;;
Мужские пальто 36 размера;Мужские пальто;;36;;;;;;;;;;;;;;
Мужские пальто 38 размера;Мужские пальто;;38;;;;;;;;;;;;;;
Мужские пальто 40 размера;Мужские пальто;;40;;;;;;;;;;;;;;
Мужские пальто 42 размера;Мужские пальто;;42;;;;;;;;;;;;;;
Мужские пальто 44 размера;Мужские пальто;;44;;;;;;;;;;;;;;
Мужские пальто 46 размера;Мужские пальто;;46;;;;;;;;;;;;;;
Мужские пальто 48 размера;Мужские пальто;;48;;;;;;;;;;;;;;
Мужские пальто 50 размера;Мужские пальто;;50;;;;;;;;;;;;;;
Мужские пальто 52 размера;Мужские пальто;;52;;;;;;;;;;;;;;
